start time;end time;elapsed utime;
160788551;160788821;270;
160789645;160789905;260;
160790739;160791036;297;
160791838;160792127;289;
160792936;160793242;306;
160794034;160794344;310;
160795131;160795445;314;
160796242;160796531;289;
160797339;160797628;289;
160798437;160798737;300;
160799541;160799830;289;
160800640;160800929;289;
160801738;160802004;266;
160802833;160803093;260;
160803927;160804187;260;
160805020;160805297;277;
160806112;160806399;287;
160807204;160807490;286;
160808298;160808558;260;
160809390;160809651;261;
160810487;160810747;260;
160811641;160811901;260;
160812735;160812995;260;
160813826;160814086;260;
160814919;160815179;260;
160816012;160816289;277;
160817104;160817386;282;
160818195;160818480;285;
160819288;160819548;260;
160820380;160820640;260;
160821473;160821733;260;
160822567;160822856;289;
160823667;160823956;289;
160824765;160825054;289;
160825863;160826152;289;
160826961;160827277;316;
160828058;160828375;317;
160829155;160829472;317;
160830254;160830543;289;
160831351;160831640;289;
160832450;160832750;300;
160833544;160833815;271;
160834637;160834907;270;
160835730;160836000;270;
160836823;160837093;270;
160837916;160838186;270;
160839009;160839294;285;
160840101;160840386;285;
160841298;160841558;260;
160842394;160842655;261;
160843489;160843778;289;
160844586;160844886;300;
160845682;160845982;300;
160846779;160847068;289;
160847877;160848166;289;
160848975;160849292;317;
160850072;160850385;313;
160851168;160851492;324;
160852268;160852557;289;
160853366;160853630;264;
160854461;160854721;260;
160855554;160855814;260;
160856647;160856908;261;
160857739;160858010;271;
160858832;160859092;260;
160859925;160860185;260;
160861017;160861313;296;
160862109;160862395;286;
160863201;160863487;286;
160864295;160864555;260;
160865388;160865658;270;
160866481;160866751;270;
160867574;160867844;270;
160868666;160868926;260;
160869757;160870027;270;
160870849;160871109;260;
160871946;160872221;275;
160873039;160873318;279;
160874133;160874447;314;
160875247;160875536;289;
160876346;160876635;289;
160877444;160877733;289;
160878542;160878842;300;
160879640;160879929;289;
160880738;160881027;289;
160881835;160882124;289;
160882935;160883241;306;
160884032;160884315;283;
160885125;160885407;282;
160886232;160886493;261;
160887326;160887586;260;
160888419;160888689;270;
160889512;160889772;260;
160890605;160890865;260;
160891698;160891968;270;
160892790;160893060;270;
160893882;160894152;270;
160894974;160895260;286;
160896066;160896346;280;
160897158;160897442;284;
160898252;160898512;260;
160899345;160899605;260;
160900438;160900698;260;
160901531;160901791;260;
160902624;160902894;270;
160903721;160903982;261;
160904815;160905075;260;
160905911;160906228;317;
160907053;160907363;310;
160908152;160908466;314;
160909251;160909540;289;
160910349;160910638;289;
160911446;160911735;289;
160912544;160912833;289;
160913641;160913930;289;
160914746;160915035;289;
160915843;160916143;300;
160916940;160917257;317;
160918038;160918349;311;
160919135;160919449;314;
160920249;160920538;289;
160921348;160921637;289;
160922444;160922733;289;
160923541;160923830;289;
160924638;160924927;289;
160925741;160926030;289;
160926841;160927130;289;
160927939;160928221;282;
160929032;160929311;279;
160930125;160930407;282;
160931236;160931496;260;
160932329;160932599;270;
160933422;160933692;270;
160934514;160934784;270;
160935606;160935876;270;
160936704;160936964;260;
160937797;160938067;270;
160938888;160939148;260;
160939981;160940266;285;
160941072;160941353;281;
160942163;160942447;284;
160943257;160943517;260;
160944350;160944620;270;
160945443;160945713;270;
160946534;160946804;270;
160947627;160947887;260;
160948718;160949014;296;
160949818;160950107;289;
160950916;160951232;316;
160952013;160952330;317;
160953110;160953423;313;
160954223;160954512;289;
160955322;160955611;289;
160956420;160956709;289;
160957523;160957823;300;
160958622;160958911;289;
160959719;160959986;267;
160960814;160961074;260;
160961907;160962167;260;
160963000;160963304;304;
160964092;160964377;285;
160965184;160965469;285;
160966278;160966538;260;
160967371;160967631;260;
160968463;160968723;260;
160969556;160969816;260;
160970645;160970906;261;
160971736;160972006;270;
160972828;160973088;260;
160973920;160974180;260;
160975013;160975293;280;
160976105;160976383;278;
160977197;160977478;281;
160978295;160978555;260;
160979389;160979649;260;
160980485;160980774;289;
160981584;160981873;289;
160982682;160982971;289;
160983779;160984068;289;
160984877;160985166;289;
160985974;160986282;308;
160987070;160987382;312;
160988166;160988482;316;
160989269;160989558;289;
160990369;160990658;289;
160991545;160991814;269;
160992639;160992899;260;
160993732;160993992;260;
160994824;160995084;260;
160995916;160996176;260;
160997009;160997294;285;
160998101;160998383;282;
160999193;160999478;285;
161000292;161000552;260;
161001387;161001647;260;
161002481;161002741;260;
161003574;161003834;260;
161004667;161004927;260;
161005760;161006020;260;
161006853;161007113;260;
161007946;161008230;284;
161009038;161009323;285;
161010131;161010416;285;
161011243;161011503;260;
161012338;161012598;260;
161013434;161013731;297;
161014534;161014823;289;
161015632;161015921;289;
161016730;161017030;300;
161017826;161018115;289;
161018922;161019229;307;
161020018;161020329;311;
161021116;161021437;321;
161022230;161022519;289;
161023329;161023597;268;
161024423;161024683;260;
161025517;161025777;260;
161026609;161026869;260;
161027702;161027962;260;
161028795;161029055;260;
161029888;161030148;260;
161030981;161031257;276;
161032078;161032358;280;
161033171;161033456;285;
161034265;161034525;260;
161035358;161035628;270;
161036450;161036710;260;
161037543;161037803;260;
161038635;161038905;270;
161039728;161039988;260;
161040821;161041081;260;
161041913;161042173;260;
161043004;161043284;280;
161044095;161044459;364;
161045192;161045504;312;
161046291;161046580;289;
161047388;161047677;289;
161048486;161048775;289;
161049584;161049884;300;
161050681;161050970;289;
161051778;161052067;289;
161052881;161053170;289;
161053980;161054288;308;
161055077;161055389;312;
161056174;161056489;315;
161057273;161057562;289;
161058371;161058671;300;
161059467;161059756;289;
161060564;161060853;289;
161061660;161061949;289;
161062756;161063045;289;
161063853;161064142;289;
161064951;161065248;297;
161066044;161066324;280;
161067136;161067419;283;
161068243;161068503;260;
161069337;161069607;270;
161070429;161070690;261;
161071522;161071782;260;
161072615;161072885;270;
161073713;161073973;260;
161074807;161075067;260;
161075900;161076160;260;
161076993;161077267;274;
161078086;161078366;280;
161079178;161079464;286;
161080272;161080532;260;
161081365;161081635;270;
161082458;161082718;260;
161083551;161083811;260;
161084644;161084904;260;
161085736;161086025;289;
161086834;161087123;289;
