start time;end time;elapsed utime;
381245047;381245306;259;
381246048;381246307;259;
381247051;381247310;259;
381248052;381248311;259;
381249053;381249315;262;
381250057;381250320;263;
381251058;381251320;262;
381252061;381252324;263;
381253062;381253317;255;
381254066;381254320;254;
381255069;381255327;258;
381256071;381256307;236;
381257073;381257310;237;
381258075;381258312;237;
381259077;381259311;234;
381260078;381260314;236;
381261080;381261309;229;
381262083;381262330;247;
381263086;381263323;237;
381264089;381264330;241;
381265091;381265328;237;
381266093;381266334;241;
381267098;381267353;255;
381268100;381268354;254;
381269103;381269363;260;
381270106;381270361;255;
381271108;381271363;255;
381272111;381272371;260;
381273114;381273369;255;
381274119;381274374;255;
381275122;381275381;259;
381276124;381276389;265;
381277127;381277387;260;
381278130;381278390;260;
381279134;381279400;266;
381280138;381280405;267;
381281140;381281405;265;
381282143;381282402;259;
381283146;381283405;259;
381284148;381284407;259;
381285150;381285416;266;
381286152;381286416;264;
381287155;381287406;251;
381288158;381288381;223;
381289161;381289378;217;
381290164;381290387;223;
381291166;381291383;217;
381292168;381292392;224;
381293169;381293386;217;
381294173;381294397;224;
381295176;381295401;225;
381296178;381296403;225;
381297180;381297405;225;
381298182;381298449;267;
381299185;381299444;259;
381300189;381300448;259;
381301192;381301453;261;
381302195;381302464;269;
381303198;381303466;268;
381304200;381304459;259;
381305204;381305472;268;
381306219;381306455;236;
381307222;381307458;236;
381308225;381308461;236;
381309236;381309453;217;
381310240;381310465;225;
381311242;381311458;216;
381312244;381312460;216;
381313247;381313463;216;
381314250;381314466;216;
381315255;381315471;216;
381316257;381316473;216;
381317261;381317477;216;
381318263;381318479;216;
381319266;381319526;260;
381320271;381320531;260;
381321274;381321534;260;
381322277;381322537;260;
381323279;381323539;260;
381324283;381324543;260;
381325285;381325545;260;
381326354;381326614;260;
381327358;381327618;260;
381328361;381328621;260;
381329364;381329606;242;
381330368;381330568;200;
381331371;381331571;200;
381332373;381332573;200;
381333374;381333574;200;
381334375;381334575;200;
381335376;381335576;200;
381336379;381336579;200;
381337380;381337580;200;
381338381;381338588;207;
381339384;381339584;200;
381340386;381340622;236;
381341389;381341625;236;
381342393;381342629;236;
381343395;381343631;236;
381344398;381344634;236;
381345401;381345637;236;
381346405;381346641;236;
381347409;381347645;236;
381348411;381348647;236;
381349415;381349660;245;
381350417;381350662;245;
381351422;381351667;245;
381352428;381352673;245;
381353432;381353677;245;
381354434;381354679;245;
381355437;381355682;245;
381356441;381356686;245;
381357443;381357726;283;
381358446;381358691;245;
381359448;381359693;245;
381360451;381360696;245;
381361453;381361698;245;
381362456;381362701;245;
381363459;381363704;245;
381364463;381364708;245;
381365467;381365712;245;
381366470;381366715;245;
381367472;381367717;245;
381368475;381368720;245;
381369478;381369723;245;
381370482;381370727;245;
381371484;381371729;245;
381372486;381372731;245;
381373489;381373734;245;
381374492;381374737;245;
381375494;381375739;245;
381376498;381376743;245;
381377502;381377747;245;
381378505;381378750;245;
381379510;381379755;245;
381380514;381380759;245;
381381517;381381762;245;
381382520;381382765;245;
381383523;381383768;245;
381384526;381384771;245;
381385530;381385775;245;
381386534;381386779;245;
381387537;381387782;245;
381388541;381388786;245;
381389544;381389789;245;
381390548;381390793;245;
381391552;381391797;245;
381392555;381392800;245;
381393559;381393804;245;
381394562;381394807;245;
381395567;381395812;245;
381396569;381396814;245;
381397572;381397817;245;
381398574;381398819;245;
381399579;381399824;245;
381400583;381400828;245;
381401586;381401831;245;
381402589;381402834;245;
381403593;381403829;236;
381404595;381404831;236;
381405598;381405834;236;
381406603;381406839;236;
381407605;381407841;236;
381408608;381408844;236;
381409611;381409847;236;
381410613;381410858;245;
381411616;381411861;245;
381412619;381412864;245;
381413624;381413869;245;
381414627;381414872;245;
381415630;381415875;245;
381416633;381416878;245;
381417636;381417881;245;
381418639;381418884;245;
381419643;381419888;245;
381420646;381420891;245;
381421650;381421895;245;
381422655;381422900;245;
381423658;381423903;245;
381424661;381424906;245;
381425665;381425910;245;
381426667;381426912;245;
381427670;381427915;245;
381428672;381428917;245;
381429677;381429922;245;
381430679;381430924;245;
381431681;381431926;245;
381432685;381432930;245;
381433687;381433932;245;
381434690;381434935;245;
381435693;381435938;245;
381436697;381436942;245;
381437700;381437945;245;
381438703;381438948;245;
381439706;381439951;245;
381440709;381440954;245;
381441712;381441957;245;
381442714;381442959;245;
381443717;381443962;245;
381444720;381444965;245;
381445722;381445967;245;
381446726;381446971;245;
381447729;381447974;245;
381448733;381448978;245;
381449737;381449982;245;
381450739;381450984;245;
381451743;381452026;283;
381452746;381452991;245;
381453750;381453995;245;
381454753;381454998;245;
381455757;381456002;245;
381456761;381457006;245;
381457764;381458009;245;
381458766;381459011;245;
381459769;381460014;245;
381460775;381461020;245;
381461778;381462023;245;
381462781;381463026;245;
381463784;381464029;245;
381464788;381465033;245;
381465791;381466036;245;
381466794;381467039;245;
381467797;381468042;245;
381468799;381469044;245;
381469802;381470047;245;
381470805;381471050;245;
381471808;381472053;245;
381472811;381473056;245;
381473813;381474049;236;
381474816;381475061;245;
381475818;381476054;236;
381476822;381477058;236;
381477825;381478061;236;
381478829;381479065;236;
381479831;381480067;236;
381480834;381481070;236;
381481837;381482073;236;
381482841;381483095;254;
381483844;381484089;245;
381484849;381485094;245;
381485853;381486098;245;
381486857;381487102;245;
381487861;381488106;245;
381488864;381489109;245;
381489867;381490112;245;
381490930;381491166;236;
381491932;381492168;236;
381492935;381493171;236;
381493937;381494173;236;
381494939;381495184;245;
381495942;381496187;245;
381496944;381497189;245;
381497946;381498191;245;
381498950;381499195;245;
381499953;381500198;245;
381500956;381501201;245;
381501958;381502203;245;
381502961;381503220;259;
381503963;381504229;266;
381504965;381505201;236;
381505968;381506199;231;
381506970;381507186;216;
381507973;381508189;216;
381508976;381509192;216;
381509978;381510194;216;
381510982;381511198;216;
381511985;381512201;216;
381512987;381513203;216;
381513989;381514216;227;
381514994;381515226;232;
381515997;381516223;226;
381517000;381517247;247;
381518002;381518253;251;
381519004;381519257;253;
381520007;381520258;251;
381521011;381521262;251;
381522013;381522266;253;
381523016;381523268;252;
381524018;381524271;253;
381525020;381525274;254;
381526022;381526281;259;
381527025;381527284;259;
381528027;381528286;259;
381529031;381529290;259;
381530035;381530291;256;
381531039;381531301;262;
381532041;381532302;261;
381533042;381533303;261;
381534045;381534309;264;
381535048;381535308;260;
381536052;381536311;259;
381537055;381537312;257;
381538058;381538302;244;
381539061;381539285;224;
381540064;381540281;217;
381541066;381541280;214;
381542069;381542286;217;
381543071;381543285;214;
381544073;381544287;214;
381545076;381545290;214;
381546079;381546297;218;
381547081;381547293;212;
381548083;381548297;214;
381549088;381549347;259;
381550090;381550349;259;
381551093;381551348;255;
381552094;381552348;254;
381553098;381553358;260;
381554100;381554356;256;
381555104;381555369;265;
381556107;381556368;261;
381557108;381557379;271;
381558110;381558373;263;
381559111;381559359;248;
381560113;381560352;239;
381561117;381561351;234;
381562119;381562353;234;
381563123;381563357;234;
381564126;381564360;234;
381565129;381565363;234;
381566132;381566372;240;
381567133;381567367;234;
381568135;381568378;243;
381569137;381569374;237;
381570140;381570383;243;
381571143;381571380;237;
381572147;381572390;243;
381573151;381573388;237;
381574154;381574391;237;
381575157;381575394;237;
381576161;381576401;240;
381577164;381577402;238;
381578166;381578409;243;
381579169;381579405;236;
381580173;381580433;260;
381581176;381581442;266;
381582178;381582436;258;
381583181;381583439;258;
381584184;381584442;258;
381585187;381585454;267;
381586189;381586456;267;
381587192;381587450;258;
381588194;381588452;258;
381589198;381589466;268;
381590201;381590453;252;
381591205;381591451;246;
381592218;381592434;216;
381593223;381593439;216;
381594226;381594442;216;
381595229;381595445;216;
381596233;381596449;216;
381597237;381597453;216;
381598241;381598457;216;
381599243;381599459;216;
381600246;381600462;216;
381601250;381601486;236;
381602254;381602490;236;
381603257;381603493;236;
381604261;381604497;236;
381605265;381605501;236;
381606269;381606505;236;
381607272;381607508;236;
381608275;381608511;236;
381609281;381609517;236;
381610284;381610529;245;
381611288;381611533;245;
381612291;381612536;245;
381613294;381613539;245;
381614297;381614542;245;
381615300;381615545;245;
381616304;381616549;245;
381617309;381617554;245;
381618313;381618558;245;
381619316;381619561;245;
381620320;381620565;245;
381621323;381621568;245;
381622326;381622571;245;
381623329;381623574;245;
381624333;381624578;245;
381625337;381625582;245;
381626340;381626585;245;
381627343;381627588;245;
381628346;381628591;245;
381629348;381629593;245;
381630350;381630595;245;
381631352;381631597;245;
381632354;381632599;245;
381633356;381633601;245;
381634358;381634603;245;
381635360;381635605;245;
381636362;381636607;245;
381637367;381637612;245;
381638369;381638614;245;
381639371;381639616;245;
381640373;381640618;245;
381641377;381641622;245;
381642380;381642625;245;
381643383;381643628;245;
381644386;381644631;245;
381645389;381645634;245;
381646392;381646637;245;
381647395;381647640;245;
381648399;381648644;245;
381649402;381649647;245;
381650405;381650650;245;
381651410;381651655;245;
381652416;381652661;245;
381653418;381653663;245;
381654421;381654666;245;
381655479;381655715;236;
381656483;381656719;236;
381657488;381657724;236;
381658491;381658727;236;
381659493;381659729;236;
381660495;381660731;236;
381661497;381661733;236;
381662499;381662744;245;
381663501;381663746;245;
381664503;381664748;245;
381665505;381665750;245;
381666508;381666753;245;
381667511;381667756;245;
381668515;381668760;245;
381669517;381669762;245;
381670520;381670780;260;
381671523;381671768;245;
381672527;381672772;245;
381673530;381673775;245;
381674533;381674778;245;
381675536;381675781;245;
381676539;381676784;245;
381677542;381677787;245;
381678546;381678791;245;
381679549;381679794;245;
381680553;381680798;245;
381681557;381681802;245;
381682560;381682805;245;
381683563;381683808;245;
381684566;381684811;245;
381685570;381685815;245;
381686574;381686819;245;
381687577;381687822;245;
381688580;381688825;245;
381689582;381689827;245;
381690586;381690831;245;
381691589;381691834;245;
381692593;381692838;245;
381693596;381693841;245;
381694600;381694845;245;
381695604;381695849;245;
381696609;381696854;245;
381697613;381697858;245;
381698617;381698862;245;
381699619;381699864;245;
381700623;381700868;245;
381701629;381701874;245;
381702632;381702877;245;
381703638;381703883;245;
381704640;381704885;245;
381705643;381705888;245;
381706646;381706891;245;
381707648;381707893;245;
381708650;381708895;245;
381709653;381709898;245;
381710656;381710901;245;
381711659;381711904;245;
381712664;381712909;245;
381713666;381713911;245;
381714668;381714913;245;
381715671;381715916;245;
381716675;381716920;245;
381717679;381717924;245;
381718684;381718929;245;
381719687;381719932;245;
381720690;381720935;245;
381721694;381721939;245;
381722696;381722941;245;
381723702;381723947;245;
381724704;381724949;245;
381725706;381725951;245;
381726711;381726956;245;
381727715;381727960;245;
381728720;381728965;245;
381729725;381729970;245;
381730730;381730975;245;
381731732;381731989;257;
381732734;381732979;245;
381733736;381733981;245;
381734740;381734985;245;
381735743;381735988;245;
381736748;381736993;245;
381737751;381737996;245;
381738754;381738999;245;
381739758;381740003;245;
381740762;381741007;245;
381741764;381742009;245;
381742766;381743011;245;
381743768;381744013;245;
381744771;381745016;245;
381745774;381746019;245;
381746776;381747021;245;
381747778;381748023;245;
381748780;381749025;245;
381749783;381750028;245;
381750785;381751030;245;
381751788;381752033;245;
381752790;381753035;245;
381753792;381754037;245;
381754795;381755040;245;
381755797;381756042;245;
381756799;381757044;245;
381757803;381758048;245;
381758806;381759031;225;
381759807;381760032;225;
381760809;381761034;225;
381761811;381762036;225;
381762812;381763037;225;
381763813;381764038;225;
381764814;381765039;225;
381765815;381766040;225;
381766817;381767033;216;
381767820;381768036;216;
381768824;381769060;236;
381769826;381770062;236;
381770830;381771066;236;
381771834;381772070;236;
381772837;381773073;236;
381773840;381774076;236;
381774843;381775079;236;
